keyword	pride_group	blast_species	pr_count
strictest	cancer	Homo_sapiens	35
strictest	cancer	nonHuman_Primates	18
strictest	cancer	nonMammal_Metazoa	3
strictest	cancer	nonPrimates_mammals	11
strictest	cancer	otherSum	1
strictest	cancer,cell line	Bacteria	7
strictest	cancer,cell line	Homo_sapiens	176
strictest	cancer,cell line	nonHuman_Primates	148
strictest	cancer,cell line	nonMammal_Metazoa	8
strictest	cancer,cell line	nonPrimates_mammals	64
strictest	cancer,cell line	otherSum	1
strictest	cell line	Bacteria	2
strictest	cell line	Homo_sapiens	151
strictest	cell line	nonHuman_Primates	112
strictest	cell line	nonMammal_Metazoa	5
strictest	cell line	nonPrimates_mammals	49
strictest	cell line	otherSum	2
strictest|pepquery	Organism part	Bacteria	6
strictest|pepquery	Organism part	Homo_sapiens	194
strictest|pepquery	Organism part	nonHuman_Primates	111
strictest|pepquery	Organism part	nonMammal_Metazoa	5
strictest|pepquery	Organism part	nonPrimates_mammals	35
strictest|pepquery	Organism part	otherSum	5
strictest|pepquery	Organism part,cancer	Bacteria	2
strictest|pepquery	Organism part,cancer	Homo_sapiens	195
strictest|pepquery	Organism part,cancer	nonHuman_Primates	109
strictest|pepquery	Organism part,cancer	nonMammal_Metazoa	3
strictest|pepquery	Organism part,cancer	nonPrimates_mammals	36
strictest|pepquery	Organism part,cancer	otherSum	5
strictest|pepquery	Organism part,cancer,cell line	Bacteria	11
strictest|pepquery	Organism part,cancer,cell line	Homo_sapiens	839
strictest|pepquery	Organism part,cancer,cell line	nonHuman_Primates	723
strictest|pepquery	Organism part,cancer,cell line	nonMammal_Metazoa	39
strictest|pepquery	Organism part,cancer,cell line	nonPrimates_mammals	325
strictest|pepquery	Organism part,cancer,cell line	otherSum	15
strictest|pepquery	Organism part,cell line	Bacteria	4
strictest|pepquery	Organism part,cell line	Homo_sapiens	316
strictest|pepquery	Organism part,cell line	nonHuman_Primates	212
strictest|pepquery	Organism part,cell line	nonMammal_Metazoa	10
strictest|pepquery	Organism part,cell line	nonPrimates_mammals	95
strictest|pepquery	Organism part,cell line	otherSum	5
strictest|pepquery	cancer	Bacteria	1
strictest|pepquery	cancer	Homo_sapiens	33
strictest|pepquery	cancer	nonHuman_Primates	17
strictest|pepquery	cancer	nonMammal_Metazoa	2
strictest|pepquery	cancer	nonPrimates_mammals	9
strictest|pepquery	cancer	otherSum	1
strictest|pepquery	cancer,cell line	Bacteria	7
strictest|pepquery	cancer,cell line	Homo_sapiens	173
strictest|pepquery	cancer,cell line	nonHuman_Primates	141
strictest|pepquery	cancer,cell line	nonMammal_Metazoa	7
strictest|pepquery	cancer,cell line	nonPrimates_mammals	64
strictest|pepquery	cancer,cell line	otherSum	1
strictest|pepquery	cell line	Bacteria	2
strictest|pepquery	cell line	Homo_sapiens	145
strictest|pepquery	cell line	nonHuman_Primates	109
strictest|pepquery	cell line	nonMammal_Metazoa	5
strictest|pepquery	cell line	nonPrimates_mammals	47
strictest|pepquery	cell line	otherSum	3
stringent	Organism part	Bacteria	44
stringent	Organism part	Homo_sapiens	1121
stringent	Organism part	nonHuman_Primates	714
stringent	Organism part	nonMammal_Metazoa	32
stringent	Organism part	nonPrimates_mammals	267
stringent	Organism part	otherSum	19
stringent	Organism part,cancer	Bacteria	3
stringent	Organism part,cancer	Homo_sapiens	218
stringent	Organism part,cancer	nonHuman_Primates	134
stringent	Organism part,cancer	nonMammal_Metazoa	4
stringent	Organism part,cancer	nonPrimates_mammals	44
stringent	Organism part,cancer	otherSum	6
stringent	Organism part,cancer,cell line	Bacteria	12
stringent	Organism part,cancer,cell line	Homo_sapiens	881
stringent	Organism part,cancer,cell line	nonHuman_Primates	793
stringent	Organism part,cancer,cell line	nonMammal_Metazoa	45
stringent	Organism part,cancer,cell line	nonPrimates_mammals	344
stringent	Organism part,cancer,cell line	otherSum	16
stringent	Organism part,cell line	Bacteria	5
stringent	Organism part,cell line	Homo_sapiens	385
stringent	Organism part,cell line	nonHuman_Primates	278
