keyword	blast_species	gencode_loc	pr_count
relaxed|pepquery	nonPrimates_mammals	All_transcript_noncoding	56
relaxed|pepquery	nonPrimates_mammals	other	164
relaxed|pepquery	otherSum	All_CDS	2
relaxed|pepquery	otherSum	All_UTR	6
relaxed|pepquery	otherSum	All_exon_coding	16
relaxed|pepquery	otherSum	All_exon_noncoding	19
relaxed|pepquery	otherSum	All_intergene	35
relaxed|pepquery	otherSum	All_intron	60
relaxed|pepquery	otherSum	All_transcript	3
relaxed|pepquery	otherSum	All_transcript_coding	31
relaxed|pepquery	otherSum	All_transcript_noncoding	3
relaxed|pepquery	otherSum	other	6
strictest	Bacteria	All_CDS	0
strictest	Bacteria	All_UTR	1
strictest	Bacteria	All_exon_coding	0
strictest	Bacteria	All_exon_noncoding	4
strictest	Bacteria	All_intergene	11
strictest	Bacteria	All_intron	18
strictest	Bacteria	All_transcript	0
strictest	Bacteria	All_transcript_coding	2
strictest	Bacteria	All_transcript_noncoding	1
strictest	Bacteria	other	0
strictest	Homo_sapiens	All_CDS	88
strictest	Homo_sapiens	All_UTR	8
strictest	Homo_sapiens	All_exon_coding	576
strictest	Homo_sapiens	All_exon_noncoding	167
strictest	Homo_sapiens	All_intergene	8
strictest	Homo_sapiens	All_intron	13
strictest	Homo_sapiens	All_transcript	23
strictest	Homo_sapiens	All_transcript_coding	927
strictest	Homo_sapiens	All_transcript_noncoding	29
strictest	Homo_sapiens	other	114
strictest	nonHuman_Primates	All_CDS	30
strictest	nonHuman_Primates	All_UTR	11
strictest	nonHuman_Primates	All_exon_coding	229
strictest	nonHuman_Primates	All_exon_noncoding	404
strictest	nonHuman_Primates	All_intergene	16
strictest	nonHuman_Primates	All_intron	38
strictest	nonHuman_Primates	All_transcript	14
strictest	nonHuman_Primates	All_transcript_coding	552
strictest	nonHuman_Primates	All_transcript_noncoding	52
strictest	nonHuman_Primates	other	148
strictest	nonMammal_Metazoa	All_CDS	4
strictest	nonMammal_Metazoa	All_UTR	2
strictest	nonMammal_Metazoa	All_exon_coding	8
strictest	nonMammal_Metazoa	All_exon_noncoding	35
strictest	nonMammal_Metazoa	All_intergene	1
strictest	nonMammal_Metazoa	All_intron	2
strictest	nonMammal_Metazoa	All_transcript	1
strictest	nonMammal_Metazoa	All_transcript_coding	20
strictest	nonMammal_Metazoa	All_transcript_noncoding	3
strictest	nonMammal_Metazoa	other	3
strictest	nonPrimates_mammals	All_CDS	18
strictest	nonPrimates_mammals	All_UTR	5
strictest	nonPrimates_mammals	All_exon_coding	104
strictest	nonPrimates_mammals	All_exon_noncoding	175
strictest	nonPrimates_mammals	All_intergene	8
strictest	nonPrimates_mammals	All_intron	12
strictest	nonPrimates_mammals	All_transcript	3
strictest	nonPrimates_mammals	All_transcript_coding	229
strictest	nonPrimates_mammals	All_transcript_noncoding	22
strictest	nonPrimates_mammals	other	58
strictest	otherSum	All_CDS	1
strictest	otherSum	All_UTR	2
strictest	otherSum	All_exon_coding	6
strictest	otherSum	All_exon_noncoding	6
strictest	otherSum	All_intergene	1
strictest	otherSum	All_intron	2
strictest	otherSum	All_transcript	1
strictest	otherSum	All_transcript_coding	12
strictest	otherSum	All_transcript_noncoding	1
strictest	otherSum	other	3
strictest|pepquery	Bacteria	All_CDS	0
strictest|pepquery	Bacteria	All_UTR	1
strictest|pepquery	Bacteria	All_exon_coding	0
strictest|pepquery	Bacteria	All_exon_noncoding	3
strictest|pepquery	Bacteria	All_intergene	10
strictest|pepquery	Bacteria	All_intron	16
strictest|pepquery	Bacteria	All_transcript	0
strictest|pepquery	Bacteria	All_transcript_coding	2
strictest|pepquery	Bacteria	All_transcript_noncoding	1
strictest|pepquery	Bacteria	other	0
strictest|pepquery	Homo_sapiens	All_CDS	87
strictest|pepquery	Homo_sapiens	All_UTR	8
strictest|pepquery	Homo_sapiens	All_exon_coding	565
strictest|pepquery	Homo_sapiens	All_exon_noncoding	158
strictest|pepquery	Homo_sapiens	All_intergene	6
strictest|pepquery	Homo_sapiens	All_intron	9
strictest|pepquery	Homo_sapiens	All_transcript	23
strictest|pepquery	Homo_sapiens	All_transcript_coding	904
strictest|pepquery	Homo_sapiens	All_transcript_noncoding	28
strictest|pepquery	Homo_sapiens	other	107
strictest|pepquery	nonHuman_Primates	All_CDS	30
strictest|pepquery	nonHuman_Primates	All_UTR	9
strictest|pepquery	nonHuman_Primates	All_exon_coding	225
strictest|pepquery	nonHuman_Primates	All_exon_noncoding	378
strictest|pepquery	nonHuman_Primates	All_intergene	16
strictest|pepquery	nonHuman_Primates	All_intron	32
strictest|pepquery	nonHuman_Primates	All_transcript	12
strictest|pepquery	nonHuman_Primates	All_transcript_coding	533
strictest|pepquery	nonHuman_Primates	All_transcript_noncoding	48
strictest|pepquery	nonHuman_Primates	other	139
strictest|pepquery	nonMammal_Metazoa	All_CDS	4
strictest|pepquery	nonMammal_Metazoa	All_UTR	2
strictest|pepquery	nonMammal_Metazoa	All_exon_coding	8
strictest|pepquery	nonMammal_Metazoa	All_exon_noncoding	32
strictest|pepquery	nonMammal_Metazoa	All_intergene	0
strictest|pepquery	nonMammal_Metazoa	All_intron	1
strictest|pepquery	nonMammal_Metazoa	All_transcript	1
strictest|pepquery	nonMammal_Metazoa	All_transcript_coding	17
strictest|pepquery	nonMammal_Metazoa	All_transcript_noncoding	3
strictest|pepquery	nonMammal_Metazoa	other	3
strictest|pepquery	nonPrimates_mammals	All_CDS	17
strictest|pepquery	nonPrimates_mammals	All_UTR	5
strictest|pepquery	nonPrimates_mammals	All_exon_coding	104
strictest|pepquery	nonPrimates_mammals	All_exon_noncoding	169
strictest|pepquery	nonPrimates_mammals	All_intergene	6
strictest|pepquery	nonPrimates_mammals	All_intron	10
strictest|pepquery	nonPrimates_mammals	All_transcript	3
strictest|pepquery	nonPrimates_mammals	All_transcript_coding	221
strictest|pepquery	nonPrimates_mammals	All_transcript_noncoding	22
strictest|pepquery	nonPrimates_mammals	other	54
strictest|pepquery	otherSum	All_CDS	1
strictest|pepquery	otherSum	All_UTR	2
strictest|pepquery	otherSum	All_exon_coding	6
strictest|pepquery	otherSum	All_exon_noncoding	6
strictest|pepquery	otherSum	All_intergene	1
strictest|pepquery	otherSum	All_intron	2
strictest|pepquery	otherSum	All_transcript	1
strictest|pepquery	otherSum	All_transcript_coding	12
strictest|pepquery	otherSum	All_transcript_noncoding	1
strictest|pepquery	otherSum	other	3
stringent	Bacteria	All_CDS	0
stringent	Bacteria	All_UTR	3
stringent	Bacteria	All_exon_coding	0
stringent	Bacteria	All_exon_noncoding	8
stringent	Bacteria	All_intergene	44
stringent	Bacteria	All_intron	85
stringent	Bacteria	All_transcript	0
stringent	Bacteria	All_transcript_coding	4
stringent	Bacteria	All_transcript_noncoding	2
stringent	Bacteria	other	0
stringent	Homo_sapiens	All_CDS	205
stringent	Homo_sapiens	All_UTR	17
stringent	Homo_sapiens	All_exon_coding	1218
stringent	Homo_sapiens	All_exon_noncoding	281
stringent	Homo_sapiens	All_intergene	31
stringent	Homo_sapiens	All_intron	60
stringent	Homo_sapiens	All_transcript	43
stringent	Homo_sapiens	All_transcript_coding	2112
stringent	Homo_sapiens	All_transcript_noncoding	61
stringent	Homo_sapiens	other	228
stringent	nonHuman_Primates	All_CDS	56
stringent	nonHuman_Primates	All_UTR	25
stringent	nonHuman_Primates	All_exon_coding	492
stringent	nonHuman_Primates	All_exon_noncoding	646
stringent	nonHuman_Primates	All_intergene	86
stringent	nonHuman_Primates	All_intron	178
stringent	nonHuman_Primates	All_transcript	29
stringent	nonHuman_Primates	All_transcript_coding	1241
