Row Labels	cancer	cancer,cell line	cell line	Organism part	Organism part,cancer	Organism part,cancer,cell line	Organism part,cell line
best	59	542	326	382	396	4374	761
<= 50	4	66	26	33	42	751	75
>500	7	82	48	67	64	434	125
100-200	19	122	87	87	103	1054	195
200-500	17	165	101	127	122	1049	216
50-100	12	107	64	68	65	1086	150
best|PepQuery	55	488	298	338	368	3974	690
<= 50	2	49	19	21	34	626	53
>500	6	79	47	66	63	418	123
100-200	18	107	79	75	97	985	182
200-500	17	162	99	124	118	1008	209
50-100	12	91	54	52	56	937	123
HUPO|best	0	20	12	17	18	814	36
<= 50	0	1	0	1	0	36	0
>500	0	1	2	4	4	87	8
100-200	0	5	4	4	5	261	9
200-500	0	10	5	7	7	283	13
50-100	0	3	1	1	2	147	6
HUPO|best|PepQuery	0	17	11	16	18	768	35
<= 50	0	1	0	0	0	34	0
>500	0	1	2	4	4	86	8
100-200	0	4	4	4	5	241	10
200-500	0	10	5	7	7	269	12
50-100	0	1	0	1	2	138	5
HUPO|loose	989	5126	3113	2332	4382	8373	7838
<= 50	245	1104	675	476	954	1257	1627
>500	31	165	117	87	131	471	228
100-200	220	1278	713	568	1080	2290	1897
200-500	96	673	371	325	613	1707	1103
50-100	397	1906	1237	876	1604	2648	2983
HUPO|loose|PepQuery	58	417	248	195	290	2190	620
<= 50	9	51	25	17	40	163	75
>500	4	29	21	27	20	218	45
100-200	20	107	71	57	84	647	157
200-500	12	110	78	42	68	642	167
50-100	13	120	53	52	78	520	176
HUPO|strict	20	105	98	80	63	1422	191
<= 50	1	5	1	1	2	69	4
>500	1	9	15	22	11	162	29
100-200	5	31	36	20	15	442	59
200-500	11	44	37	27	27	486	72
50-100	2	16	9	10	8	263	27
HUPO|strict|PepQuery	12	76	71	69	45	1210	136
<= 50	0	2	1	0	1	48	2
>500	0	9	12	21	8	146	24
100-200	4	19	22	16	11	374	39
200-500	8	36	30	26	19	424	57
50-100	0	10	6	6	6	218	14
loose	50277	16596	86643	72052	12987	22150	20359
<= 50	20309	5706	35035	27915	4338	6647	6614
>500	1026	451	1858	1598	367	890	583
100-200	6854	2794	11804	10193	2240	4180	3563
200-500	2904	1440	5376	4718	1196	2799	2001
50-100	19184	6205	32570	27628	4846	7634	7598
loose|PepQuery	11863	5616	20125	16628	4004	12002	6334
<= 50	4623	1904	7407	5803	1366	3508	2055
>500	276	210	670	546	140	616	287
100-200	1740	907	3092	2662	670	2267	1070
200-500	915	637	1853	1586	411	1716	751
50-100	4309	1958	7103	6031	1417	3895	2171
strict	1549	1580	3543	3463	1156	6731	2006
<= 50	428	363	830	754	264	1488	414
>500	126	136	328	325	99	517	204
100-200	288	299	717	683	231	1482	431
200-500	242	317	738	686	236	1326	426
50-100	465	465	930	1015	326	1918	531
strict|PepQuery	832	1148	2103	1992	808	5550	1430
<= 50	199	229	345	293	155	1140	235
>500	87	125	279	259	80	479	189
100-200	174	221	438	423	194	1262	330
200-500	179	275	573	542	192	1198	359
50-100	193	298	468	475	187	1471	317
